Establecimiento / Establishment,Dirección / Address,Línea de Atención / Attention line,Horarios / Schedule,Servicios Baño / Bathroom Services,Servicio a domicilio / Home service,Tarjetas de Crédito / Credit cards ,Bonos / Bonds,Sistema De Crédito,Georeferencia,Latitud, Longitud
Comfandi Supermercado,Calle 5 No. 16 - 48,2281301,Lunes a Sabado 7:30-20:00 Domingos y Festivos 8:00-12:00,SI,NO,Todas,Sodexo Bigpass,Crediamigo,"(3.8992, -76.304202)",3.8992,-76.304202
Supermercado Caribe,Calle 1Sur con Carrera 19 esquina,2384598,Todos los dias 7:00-21:00,SI,3022996186,Todas,Sodexo Bigpass,Solo empresas,"(3.894591, -76.308476)",3.894591,-76.308476
Tiendas D1 Albergue,Carrera 9 No. 6S - 03,2541050,Lunes a Domingo 8:00-21:00 Festivos 8:00-18:00 ,NO,NO,NO,NO,NO,"(3.890615, -76.297893)",3.890615,-76.297893
Tiendas D1 Centro,Carrera 12 No. 9 - 45,2541050,Lunes a Domingo 8:00-21:00 Festivos 8:00-18:00 ,NO,NO,NO,NO,NO,"(3.901726, -76.299017)",3.901726,-76.299017
Tiendas D1 Ferias,Carrera 8 No. 20 - 19,2541050,Lunes a Domingo 8:00-21:00 Festivos 8:00-18:00 ,NO,NO,NO,NO,NO,"(3.909094, -76.292027)",3.909094,-76.292027
Supermercado Cañaveral Albergue,Calle 8S con Carrera 12 esquina,2391743,Todos los dias 07:00-21:00,SI,NO,Todas,Sodexo Bigpass Bonos Regalo,Crediuno,"(3.888735, -76.299687)",3.888735,-76.299687
Supermercado Cañaveral Basílica,Calle 4 No. 19 - 24,2391743,Todos los dias 07:00-21:00,SI,NO,Todas,Sodexo Bigpass Bonos Regalo,Crediuno,"(3.899181, -76.307102)",3.899181,-76.307102
Tiendas Metro,Calle 4 No. 23 - 86,2285800,Todos los dias 07:00-21:00,SI,NO,Todas,Sodexo Bigpass Bonos Regalo,Crediuno,"(3.90145, -76.310342)",3.90145,-76.310342
Tiendas Ara Albergue,Carrera 8A con Calle 8 SUR,18000521888,Lunes a Sabado 8:00-21:00 Domingos y Festivos 08:00-20:00,NO,NO,Bancolombia,NO,NO,"(3.889721, -76.297366)",3.889721,-76.297366
Tiendas Ara Hospital,Carrera 8 No. 16 - 35,18000521888,Lunes a Sabado 8:00-21:00 Domingos y Festivos 08:00-20:00,NO,NO,Bancolombia,NO,NO,"(3.906171, -76.293296)",3.906171,-76.293296
Tiendas Ara Centro,Carrera 13 No. 8 - 69,18000521888,Lunes a Sabado 8:00-21:00 Domingo y Festivos 08:00-20:00,NO,NO,Bancolombia,NO,NO,"(3.901235, -76.300154)",3.901235,-76.300154
Supertiendas Olímpica,Calle 7 No. 11 - 93,2369495,Lunes a Sabado 7:00-22:00 Domingos y Festivos 7:00-21:00,SI,2384477,Todas,Sodexo Bigpass Bonos Regalo,Tarjeta Olimpica,"(3.899361, -76.299755)",3.899361,-76.299755
Olímpica Palo blanco,Calle 16 No. 18B - 180,2369495,Lunes a Sabado 7:00-22:00 Domingos y Festivos 7:00-21:01,SI,2384477,Todas,Sodexo Bigpass Bonos Regalo,Tarjeta Olimpica,"(3.911253, -76.303509)",3.911253,-76.303509
Éxito,Carrera 13 No. 8 - 54,2280805,Todos los dias 8:00-21:00,NO,NO,Todas,Sodexo Bigpass Bonos Regalo,NO,"(3.901175, -76.300152)",3.901175,-76.300152
Surtifamiliar Centro,Carrera 12 No. 8 - 38,2271574,Todos los dias 7:00-21:00,SI,NO,Todas,Sodexo Bigpass Bonos Regalo,Tarjeta Surtifamiliar,"(3.900895, -76.299286)",3.900895,-76.299286
Surtifamiliar Palo blanco,Carrera 30 No. 12 - 64,2281824,Todos los dias 7:00-21:00,SI,NO,Todas,Sodexo Bigpass Bonos Regalo,Tarjeta Surtifamiliar,"(3.912021, -76.309937)",3.912021,-76.309937
